                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.9048,                 1.6587,                 1.0578,                0.64311,                0.64572,                0.63433,                0.27935,                   1.71,                 1.3937,                 1.0141,              0.0091486,              0.0091486,              0.0091486
                     45,                  1.899,                 1.6449,                 1.0551,                0.64112,                 0.6479,                0.64076,                0.28124,                 1.7173,                  1.397,                 1.0161,              0.0091288,              0.0091288,              0.0091288
                     46,                 1.8896,                 1.6245,                 1.0493,                0.64744,                0.64442,                0.64056,                0.28341,                  1.713,                  1.393,                 1.0126,               0.009109,               0.009109,               0.009109
                     47,                 1.8917,                 1.6082,                 1.0508,                 0.6507,                0.65806,                0.64642,                0.28694,                 1.7015,                 1.3728,                 1.0103,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.8869,                 1.6172,                 1.0473,                 0.6524,                0.66305,                0.64905,                0.29045,                 1.7023,                 1.3581,                 1.0095,              0.0090694,              0.0090694,              0.0090694
                     49,                  1.876,                 1.6022,                  1.047,                0.65317,                0.65384,                0.64399,                0.29046,                 1.6906,                 1.3679,                 1.0078,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.8841,                 1.6047,                 1.0469,                0.66232,                0.65351,                0.64881,                0.29174,                 1.6925,                 1.3699,                 1.0072,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.8687,                 1.5827,                 1.0431,                0.66668,                0.67291,                0.66075,                0.29707,                 1.6905,                 1.3484,                 1.0065,                0.00901,                0.00901,                0.00901
                     52,                 1.8691,                  1.575,                 1.0403,                0.66438,                0.66045,                0.65949,                0.29883,                 1.6829,                 1.3469,                 1.0069,              0.0089902,              0.0089902,              0.0089902
                     53,                  1.868,                 1.5876,                 1.0401,                 0.6643,                0.67401,                0.66367,                0.29885,                 1.6799,                 1.3474,                 1.0045,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.8598,                 1.5738,                 1.0414,                0.66195,                0.66331,                0.66117,                0.30062,                 1.6657,                 1.3481,                 1.0038,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.8722,                 1.5823,                 1.0445,                0.66226,                0.67065,                0.65985,                0.29992,                 1.6657,                 1.3445,                 1.0021,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.8578,                  1.547,                 1.0392,                0.66693,                0.67587,                0.66611,                0.30202,                 1.6815,                 1.3327,                 1.0027,               0.008911,               0.008911,               0.008911
                     57,                 1.8506,                 1.5756,                 1.0391,                0.66192,                0.67206,                 0.6625,                0.30699,                 1.6402,                 1.3434,                0.99503,              0.0088912,              0.0088912,              0.0088912
                     58,                  1.843,                 1.5627,                 1.0365,                0.66275,                0.67747,                0.66425,                0.30431,                 1.6495,                 1.3343,                0.99586,              0.0088714,              0.0088714,              0.0088714
                     59,                 1.8411,                 1.5664,                 1.0364,                0.67019,                0.67695,                0.66972,                0.30834,                 1.6427,                 1.3242,                0.99536,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.8459,                  1.565,                 1.0418,                0.67389,                0.68285,                0.67194,                0.31005,                 1.6501,                 1.3209,                0.99949,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.8383,                 1.5458,                  1.035,                 0.6725,                0.68216,                0.67041,                0.30937,                 1.6462,                 1.3196,                0.99614,               0.008812,               0.008812,               0.008812
                     62,                 1.8414,                 1.5596,                 1.0314,                0.67017,                0.67773,                0.66937,                0.30818,                 1.6431,                 1.3196,                0.99405,              0.0087922,              0.0087922,              0.0087922
