                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                 1.7249,                 1.6327,                 1.0305,                0.57198,                0.57715,                0.54808,                 0.2512,                 1.6339,                 1.5052,                 1.0445,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.7295,                  1.627,                 1.0276,                0.57665,                0.57596,                 0.5501,                0.25203,                  1.633,                 1.5028,                 1.0441,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.7214,                  1.629,                 1.0271,                0.57864,                0.58007,                0.55214,                0.25336,                 1.6315,                 1.4999,                 1.0437,               0.008119,               0.008119,               0.008119
                     97,                 1.7312,                 1.6391,                  1.025,                0.57948,                0.58179,                0.55384,                0.25422,                 1.6302,                 1.4981,                 1.0432,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.7305,                 1.6298,                 1.0253,                0.58248,                0.57947,                0.55583,                0.25501,                 1.6293,                 1.4964,                 1.0428,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.7182,                 1.6226,                 1.0337,                0.58262,                0.58031,                0.55744,                0.25588,                 1.6292,                 1.4939,                 1.0429,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.7321,                 1.6243,                 1.0329,                0.58191,                0.58107,                0.55853,                0.25668,                 1.6293,                 1.4914,                  1.043,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.7209,                 1.6294,                 1.0319,                0.58227,                0.58317,                0.56006,                0.25716,                  1.629,                   1.49,                 1.0428,                0.00802,                0.00802,                0.00802
                    102,                 1.7198,                 1.6319,                 1.0302,                0.58298,                0.58456,                 0.5615,                0.25793,                 1.6283,                 1.4883,                 1.0426,              0.0080002,              0.0080002,              0.0080002
                    103,                  1.721,                  1.627,                 1.0247,                0.58539,                0.58479,                0.56213,                0.25812,                 1.6277,                 1.4869,                 1.0422,              0.0079804,              0.0079804,              0.0079804
                    104,                 1.7211,                 1.6167,                 1.0282,                0.58676,                 0.5886,                0.56333,                0.25903,                 1.6258,                 1.4856,                 1.0415,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.7224,                 1.6205,                 1.0292,                0.58961,                0.58734,                0.56411,                0.25979,                 1.6241,                 1.4838,                  1.041,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.7187,                 1.6368,                 1.0264,                0.59069,                0.58891,                0.56563,                0.26009,                 1.6242,                 1.4822,                 1.0409,               0.007921,               0.007921,               0.007921
                    107,                 1.7193,                 1.6144,                 1.0286,                0.59203,                0.59082,                0.56706,                0.26083,                 1.6233,                 1.4808,                 1.0405,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.7117,                 1.6187,                  1.025,                0.59224,                0.59108,                0.56808,                0.26139,                 1.6239,                 1.4785,                 1.0409,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.7197,                 1.6096,                 1.0252,                0.59178,                0.59314,                0.56885,                0.26184,                 1.6237,                 1.4769,                 1.0408,              0.0078616,              0.0078616,              0.0078616
                    110,                  1.718,                 1.6029,                 1.0242,                0.59488,                  0.593,                0.56964,                 0.2627,                 1.6244,                 1.4748,                 1.0414,              0.0078418,              0.0078418,              0.0078418
                    111,                  1.711,                 1.6127,                 1.0293,                0.59571,                0.59523,                0.57048,                0.26327,                 1.6238,                 1.4738,                 1.0412,               0.007822,               0.007822,               0.007822
                    112,                 1.7182,                 1.6051,                 1.0302,                 0.5964,                0.59768,                0.57103,                0.26387,                 1.6228,                 1.4726,                 1.0409,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.7038,                 1.6017,                 1.0274,                0.59635,                0.59831,                0.57208,                0.26427,                  1.623,                 1.4713,                 1.0408,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.7201,                 1.6204,                 1.0267,                0.59765,                0.60095,                0.57345,                0.26508,                 1.6221,                 1.4703,                 1.0406,              0.0077626,              0.0077626,              0.0077626
                    115,                  1.711,                 1.6072,                 1.0293,                0.60049,                0.59982,                0.57408,                0.26529,                 1.6224,                 1.4688,                 1.0406,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.7037,                 1.6075,                  1.026,                0.60032,                0.60149,                0.57528,                0.26603,                 1.6216,                 1.4672,                 1.0404,               0.007723,               0.007723,               0.007723
                    117,                 1.7146,                 1.6098,                 1.0213,                0.60077,                0.60396,                0.57617,                0.26665,                 1.6205,                 1.4661,                   1.04,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.6996,                 1.6001,                 1.0259,                0.59965,                0.60482,                0.57629,                0.26705,                   1.62,                  1.465,                 1.0398,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.6969,                 1.6066,                 1.0243,                 0.6007,                 0.6024,                0.57666,                0.26727,                 1.6192,                 1.4639,                 1.0395,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.7214,                 1.6019,                 1.0249,                0.60401,                 0.6014,                0.57769,                0.26782,                  1.619,                  1.463,                 1.0394,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.7079,                 1.6023,                  1.022,                0.60423,                0.60374,                 0.5787,                0.26807,                 1.6197,                 1.4617,                 1.0396,               0.007624,               0.007624,               0.007624
                    122,                 1.7065,                 1.5911,                 1.0252,                0.60346,                0.60437,                0.58013,                0.26854,                 1.6195,                 1.4608,                 1.0397,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.7019,                 1.5911,                 1.0214,                0.60573,                0.60429,                0.58018,                0.26861,                 1.6202,                 1.4593,                 1.0399,              0.0075844,              0.0075844,              0.0075844
                    124,                  1.703,                 1.5944,                 1.0282,                0.60466,                0.60568,                 0.5813,                 0.2692,                 1.6198,                 1.4578,                 1.0398,              0.0075646,              0.0075646,              0.0075646
                    125,                  1.714,                 1.6172,                 1.0229,                0.60432,                0.60623,                0.58217,                0.26967,                 1.6204,                 1.4568,                 1.0401,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.6915,                 1.5887,                 1.0214,                0.60461,                0.60803,                0.58344,                0.26998,                 1.6211,                 1.4562,                 1.0403,               0.007525,               0.007525,               0.007525
                    127,                  1.698,                 1.5785,                 1.0222,                0.60545,                0.60767,                 0.5834,                 0.2703,                 1.6207,                 1.4553,                 1.0402,              0.0075052,              0.0075052,              0.0075052
                    128,                 1.6928,                  1.583,                  1.019,                0.60838,                0.60657,                0.58448,                0.27071,                 1.6215,                 1.4538,                 1.0407,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.6979,                 1.5809,                 1.0213,                0.60899,                0.60812,                0.58526,                0.27114,                 1.6221,                 1.4526,                 1.0409,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.6936,                 1.5922,                 1.0235,                0.61131,                0.60671,                0.58648,                0.27186,                 1.6223,                 1.4511,                 1.0408,              0.0074458,              0.0074458,              0.0074458
                    131,                 1.6928,                 1.5891,                 1.0187,                  0.611,                0.60824,                0.58682,                0.27192,                 1.6223,                   1.45,                 1.0409,               0.007426,               0.007426,               0.007426
                    132,                 1.7123,                 1.5914,                 1.0208,                0.61051,                0.60767,                0.58743,                0.27237,                 1.6222,                 1.4491,                 1.0411,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.6981,                 1.5827,                 1.0202,                0.60958,                0.60902,                0.58856,                0.27281,                 1.6221,                  1.448,                 1.0411,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.6966,                 1.5876,                 1.0242,                0.60889,                0.61066,                0.58872,                  0.273,                 1.6216,                 1.4469,                 1.0409,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.6897,                 1.5858,                 1.0174,                0.60909,                0.61156,                0.58932,                0.27336,                 1.6212,                 1.4457,                 1.0409,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.6872,                 1.5809,                 1.0139,                0.60929,                0.61309,                0.59054,                0.27355,                  1.621,                 1.4446,                 1.0409,               0.007327,               0.007327,               0.007327
                    137,                 1.6951,                  1.585,                 1.0212,                0.60925,                0.61337,                0.59059,                0.27393,                 1.6193,                 1.4443,                 1.0402,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.6912,                 1.5818,                 1.0211,                0.61098,                0.61113,                0.59094,                0.27413,                 1.6193,                 1.4432,                 1.0402,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.6897,                 1.5753,                 1.0211,                0.61147,                0.61303,                0.59128,                0.27449,                 1.6188,                 1.4425,                 1.0402,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.6921,                 1.5835,                 1.0217,                0.61053,                0.61417,                0.59175,                0.27492,                 1.6174,                 1.4416,                 1.0398,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.6984,                 1.5816,                 1.0188,                0.61048,                0.61377,                0.59158,                0.27476,                 1.6173,                 1.4411,                 1.0398,               0.007228,               0.007228,               0.007228
                    142,                 1.7011,                 1.5868,                 1.0237,                0.61087,                0.61524,                0.59277,                0.27482,                 1.6178,                 1.4399,                 1.0401,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.6926,                 1.5811,                 1.0161,                 0.6112,                0.61607,                0.59343,                0.27547,                 1.6173,                 1.4388,                   1.04,              0.0071884,              0.0071884,              0.0071884
